"id","name","short_name"
"1","360° ENERJİ","360 ENERJİ ANONİM ŞİRKETİ"
"2","3a","MAS SINAİ VE TİCARİ YATIRIMLAR ANONİM ŞİRKETİ"
"3","5 şarj","BORENCO ŞARJ TEKNOLOJİ YATIRIMLARI TİCARET ANONİM ŞİRKETİ"
"4","AARCONA","ARCONA TEKNOLOJİ ANONİM ŞİRKETİ"
"5","ACROBAT","KARKIN ENERJİ TİCARET VE SANAYİ LİMİTED ŞİRKETİ"
"6","ACROPOL","GREENLEAF YENİLENEBİLİR ENERJİ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"7","ADZE","ALFAMET ENERJİ VE ŞARJ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"8","Akköprülü","AKKÖPRÜLÜ OTOMOTİV İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"9","akmcharge","AKMERCAN ELEKTRİK DOĞAL GAZ YATIRIMLARI ANONİM ŞİRKETİ"
"10","AKSA ŞARJ","AKSA MÜŞTERİ ÇÖZÜMLERİ ANONİM ŞİRKETİ"
"11","AKTİF ŞARJ","BAŞARI GLOBAL SAVUNMA SANAYİ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"12","Antkem","ANTKEM GIDA TURİZM MAKİNA SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"13","AOSTECHNOLOGY","AYHAN TEKNOLOJİ VE OTOMASYON ÇÖZÜMLERİ ANONİM ŞİRKETİ"
"14","ar armaksis ar verdepunto","VERDEPUNTO ENERJİ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"15","ARSİMA","ARSİMA YENİLENEBİLİR ENERJİ ANONİM ŞİRKETİ"
"16","ASPLUS","ASPLUS ŞARJ İSTASYONLARI İŞLETMELERİ ANONİM ŞİRKETİ"
"17","ASTOR","ASTOR ENERJİ ANONİM ŞİRKETİ"
"18","AUTOŞARJ","SOLARPARK DANIŞMANLIK TURİZM MÜHENDİSLİK ENERJİ ÜRETİM İNŞAAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"19","AUTOVOLT","AUTOVOLT ENERJİ TEKNOLOJİ SİSTEMLERİ İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"20","B-CHARGE","CHARGE LABORATORY MOBİLİTY TEKNOLOJİ ANONİM ŞİRKETİ"
"21","B-FORCE","BAŞER OTOMOTİV PETROL İNŞAAT KİRALAMA ANONİM ŞİRKETİ"
"22","beefull","BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"23","biogreen","ENAY ENERJİ GIDA ANONİM ŞİRKETİ"
"24","BLADECO","BLADECO ALÜMİNYUM SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"25","BÖLGEM mobilite","BÖLGEM MÜHENDİSLİK İNŞAAT ELEKTRİK MAKİNE SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"26","carbonage","SPUR ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"27","Cavalier","FOKS ENERJİ ANONİM ŞİRKETİ"
"28","CHARGEINN","SHU ARGE İNOVASYON VE BİLGİ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"29","CHARGING VEHICLES CV","CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ ANONİM ŞİRKETİ"
"30","CheckPoint","CHECKPOİNT ŞARJ İSTASYONLARI İŞLETMECİLİĞİ ANONİM ŞİRKETİ"
"31","CLIXOLAR","SOLARŞARJET ENERJİ VE ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ"
"32","CTG ELEKTRİK ANONİM ŞİRKETİ","CTG ELEKTRİK ANONİM ŞİRKETİ"
"33","CV Enerji","CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ ANONİM ŞİRKETİ"
"34","D-Charge","DOĞUŞ ŞARJ SİSTEMLERİ PAZARLAMA VE TİCARET ANONİM ŞİRKETİ"
"35","d-rect charge","D RECT CHARGE ELEKTRİK ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"36","dgdoğuşgıda","DOĞUŞ DİJİTAL ENERJİ LİMİTED ŞİRKETİ"
"37","DYNOPOWER","GOŞARJ ELECTRİCAL ENERJİ YATIRIM ANONİM ŞİRKETİ"
"38","E-mod Mobil Şarj İstasyonu","MOD MALKARLAR OTOMOTİV SANAYİ TİCARET LİMİTED ŞİRKETİ"
"39","e-POwer","PETROL OFİSİ ANONİM ŞİRKETİ"
"40","E4 ŞARJ","TT VENTURES PROJE GELİŞTİRME ANONİM ŞİRKETİ"
"41","ECOBOX","ATAY GÜÇ VE ENERJİ SİSTEMLERİ İMALAT SANAYİ TİCARET LİMİTED ŞİRKETİ"
"42","ECOCONNECT","FCTR ELEKTRİKLİ ARAÇLAR ENERJİ TEKNOLOJİLERİ VE HİZMETLERİ A.Ş"
"43","eee Eskişehir Endüstriyel Enerji Elektrik Üretim A.Ş.","ESKİŞEHİR ENDÜSTRİYEL ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ"
"44","efish","ARTAŞ ENERJİ YATIRIMLARI SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"45","ekojet","YENİ SÜRDÜRÜLEBİLİR ENERJİ TEKNOLOJİLERİ VE ÜRETİMLERİ ANONİM ŞİRKETİ"
"46","EKOS","EKOS MOBİLİTE ÇÖZÜMLERİ TEKNOLOJİ TİCARET ANONİM ŞİRKETİ"
"47","ekoşarj en ekonomik, en ekolojik şekil","HES GROUP ENERJİ İNŞAATVE SANAYİ TİCARET ANONİM ŞİRKETİ"
"48","Elaris Elektrikli Araç Şarj Hizmetleri","ELARİS ENERJİ YATIRIMLARI ANONİM ŞİRKETİ"
"49","Electrise","CHARGE TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"50","EN YAKIT","EN YAKIT ANONİM ŞİRKETİ"
"51","ENERGY CHARGING OPERATOR NETWORK ECON","GLOBAL İNOVATİF ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"52","energy enerjik","ENERGY ŞARJ İSTASYON İŞLETMECİLİĞİ ANONİM ŞİRKETİ"
"53","enertürk rhg enerji","RHG ENERTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ"
"54","EPSIS","FORM ELEKTRİK İNŞAAT MÜHENDİSLİK ANONİM ŞİRKETİ"
"55","ERC SİSTEM","ERC SİSTEM ELEKTRİK MAKİNA İMALAT TAAHHÜT SANAYİ  VE TİCARET ANONİM ŞİRKETİ"
"56","eşarj","EŞARJ ELEKTRİKLİ ARAÇLAR ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ"
"57","ESTASYON","İSTASYON ŞARJ HİZMETLERİ ANONİM ŞİRKETİ"
"58","evbee","EVBEE ELEKTRİKLİ ARAÇ VE ŞARJ SİSTEMLERİ ENERJİ MÜHENDİSLİK ARGE SANAYİ TİCARET ANONİM ŞİRKETİ"
"59","EVC CHARGE","EVCİL YATIRIM MÜHENDİSLİK MİMARLIK LİMİTED ŞİRKETİ"
"60","evroad","ŞARJZONE ENERJİ VE ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ"
"61","EVSolt","STL SOLAR ENERJİ ANONİM ŞİRKETİ"
"62","Fast-Go","YENİ MODEL YAPAY ZEKA VE ROBOTİK TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ"
"63","fixcharge","BEYTTÜRK ENERJİ ÜRETİM VE TİCARET ANONİM ŞİRKETİ"
"64","FORTIS ENERJİ","FORTİS ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ"
"65","fotec","FOTEC ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"66","FZYENERGY","FZY ENERJİ ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ"
"67","G-Charge","GERSAN ŞARJ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"68","GEL DOL","ER ELEKTRONİK SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"69","GERİLİM ENERJİ","GERİLİM YENİLENEBİLİR ENERJİ VE TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"70","getacharge","PROŞARJ ARAÇ ŞARJ SİSTEMLERİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"71","GezCar","GEZCAR TURİZM OTOMOTİV SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"72","GIOEV","GİOEV ŞARJ İSTASYONLARI İŞLETMELERİ ANONİM ŞİRKETİ"
"73","GLADSOME","AVEL ENERJİ ÜRETİM ANONİM ŞİRKETİ"
"74","gotedygo","TEDY ENERJİ VE TEKNOLOJİ ANONİM ŞİRKETİ"
"75","GREEN ŞARJ İSTASYONLARI","GREEN ŞARJ İSTASYONLARI KURULUM ANONİM ŞİRKETİ"
"76","GREEN SCIENCE","ZEY ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"77","GREENWATT","GREEN WATT ENERJİ ÜRETİM İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"78","GSM CHARGE","GS MAR ELEKTRİK VE ELEKTRONİK CİHAZLAR SANAYİ DIŞ TİCARET ANONİM ŞİRKETİ"
"79","HIZZLAN Charge N'Drive","JETCO ELEKTRİK ELEKTRONİK YÜKSEK TEKNOLOJİ HİZMETLERİ ANONİM ŞİRKETİ"
"80","i-şarj","İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ"
"81","Incharge ELECTRIC VEHICLE CHARGING SYSTEMS","İNCHARGE ELEKTRİKLİ ARAÇLAR HİZMETLERİ ANONİM ŞİRKETİ"
"82","INTERDATA","INTERDATA VERİ MERKEZİ VE ENTEGRASYON HİZMETLERİ ANONİM ŞİRKETİ"
"83","İSPİRLİ","İSPİRLİ ŞARJ HİZMETLERİ TİCARET ANONİM ŞİRKETİ"
"84","K-ŞARJ","HUNAT ENERJİ YATIRIM VE DANIŞMANLIK SANAYİ TİCARET ANONİM ŞİRKETİ"
"85","Karbon Nötr Konya","KONYA ELEKTRİKLİ ARAÇLAR ANONİM ŞİRKETİ"
"86","KES","KLR ENERJİ SİSTEMLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"87","KÖFTECİ YUSUF","KÖFTECİ YUSUF HAZIR YEMEK TEMİZLİK CANLI HAYVAN ET MAMÜLLERİ ENTEGRE GIDA İTHALAT İHRACAT SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"88","KRNENERJİ ŞARJ İSTASYONLARI","ARTI KURUMSAL KART VE PETROL HİZMETLERİ TİCARET LİMİTED ŞİRKETİ"
"89","LUMİCLE","LUMHOUSE ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"90","MAGIC LINE","MAGİCLİNE ENERJİ SİSTEMLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"91","MEHMETÇİK ENERJİ GRUBU","MEHMETÇİK ENERJİ GRUBU ANONİM ŞİRKETİ"
"92","MEIS CHARGE","MEİS CHARGE TEKNOLOJİLERİ ANONİM ŞİRKETİ"
"93","MERCURY","MERCURY ŞARJ HİZMETLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"94","MİGGO","MİGEN ENERJİ VE ELEKTRİKLİ ARAÇ ŞARJ HİZMETLERİ ANONİM ŞİRKETİ"
"95","MINUS ENERGY","MINUS ENERGY ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"96","MITHRA POD","MİTHRA POD ELEKTRİK VE ELEKTRONİK OTOMASYON SİSTEMLERİ İMALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"97","MKS-ŞARJ","MAKSEM ELEKTRO ŞARJ ANONİM ŞİRKETİ"
"98","Monokon elektrik","MONOKON ELEKTRİK SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"99","MULTI FORCE","FULL ELEKTRİKLİ ARAÇLAR ŞARJ AĞI İSTASYONLARI İŞLETMECİLİĞİ ENERJİ TİCARET VE SANAYİ ANONİM ŞİRKETİ"
"100","MYCHARGE","MANAS İPLİK SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"101","MYPOWER","AKDEN GEMİ İŞLETMECİLİĞİ VE DENİZCİLİK TİCARET LİMİTED ŞİRKETİ"
"102","MYZCO","MYZ BİLGİSAYAR OTOMOTİV İNŞAAT PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"103","NEVA ŞARJ","NEVA İÇ VE DIŞ TİCARET ANONİM ŞİRKETİ"
"104","Obişarj","OBİŞARJ ELEKTRİKLİ ARAÇ ŞARJ SİSTEMLERİ ANONİM ŞİRKETİ"
"105","oğultürk PANO","OTP OĞULTÜRK PANO İMALAT İTHALAT İHRACAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ"
"106","oncharge","KALYON ELECTRICAL VEHICLE ENERJİ YATIRIM ANONİM ŞİRKETİ"
"107","önizşarj","ASM DEKORASYON MOBİLYA  GRANİT MERMER İNŞAAT SANAYİ TİCARET LİMİTED ŞİRKETİ"
"108","onLIFE","FİLOPORT ARAÇ KİRALAMA VE SERVİS ANONİM ŞİRKETİ"
"109","ORBİT ENERJİ HAB. TEK. SAN. VE TİC. A.Ş.","ORBİT ENERJİ HABERLEŞME TEKNOLOJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"110","Otojet","OTOJET ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
"111","Otopriz","DİCLE KÖK ENERJİ YATIRIM ANONİM ŞİRKETİ"
"112","otoWATT","AYDEM PLUS ENERJİ ÇÖZÜMLERİ TİCARET ANONİM ŞİRKETİ"
"113","ovolt","OVOLT ŞARJ TEKNOLOJİLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ"
