"id","station_id","socket_number","charging_method","connector_type","power"
"1","1","SKT/31264","DC","DC_CCS","60"
"2","1","SKT/31265","DC","DC_CCS","60"
"3","1","SKT/31266","DC","DC_CCS","60"
"4","1","SKT/31267","DC","DC_CCS","60"
"5","2","SKT/31509","AC","AC_TYPE2","7.4"
"6","3","SKT/31677","DC","DC_CCS","180"
"7","3","SKT/31678","DC","DC_CCS","180"
"8","4","SKT/16167","DC","DC_CCS","180"
"9","4","SKT/16168","DC","DC_CCS","180"
"10","5","SKT/16340","DC","DC_CCS","160"
"11","5","SKT/16341","DC","DC_CCS","160"
"12","6","SKT/16394","DC","DC_CCS","90"
"13","6","SKT/16395","DC","DC_CCS","90"
"14","7","SKT/17191","DC","DC_CCS","120"
"15","7","SKT/17192","DC","DC_CCS","120"
"16","8","SKT/17345","DC","DC_CCS","180"
"17","8","SKT/17346","DC","DC_CCS","180"
"18","9","SKT/17347","DC","DC_CCS","180"
"19","9","SKT/17348","DC","DC_CCS","180"
"20","10","SKT/15634","DC","DC_CCS","180"
"21","10","SKT/15635","DC","DC_CCS","180"
"22","11","SKT/21933","DC","DC_CCS","180"
"23","11","SKT/21934","DC","DC_CCS","180"
"24","12","SKT/22210","DC","DC_CCS","120"
"25","12","SKT/22211","DC","DC_CCS","120"
"26","13","SKT/22974","AC","AC_TYPE2","22"
"27","13","SKT/22975","AC","AC_TYPE2","22"
"28","14","SKT/23606","DC","DC_CCS","120"
"29","14","SKT/23607","DC","DC_CCS","120"
"30","15","SKT/23682","DC","DC_CCS","160"
"31","15","SKT/23683","DC","DC_CCS","160"
"32","16","SKT/32521","DC","DC_CCS","120"
"33","16","SKT/32522","DC","DC_CCS","120"
"34","17","SKT/32523","DC","DC_CCS","120"
"35","17","SKT/32524","DC","DC_CCS","120"
"36","18","SKT/33018","DC","DC_CCS","120"
"37","18","SKT/33019","DC","DC_CCS","120"
"38","19","SKT/33020","DC","DC_CCS","120"
"39","19","SKT/33021","DC","DC_CCS","120"
"40","20","SKT/33107","DC","DC_CCS","65"
"41","20","SKT/33108","DC","DC_CCS","65"
"42","21","SKT/33109","DC","DC_CCS","120"
"43","21","SKT/33110","DC","DC_CCS","120"
"44","22","SKT/33125","DC","DC_CCS","120"
"45","22","SKT/33126","DC","DC_CCS","120"
"46","23","SKT/33142","DC","DC_CCS","120"
"47","23","SKT/33143","DC","DC_CCS","120"
"48","24","SKT/15969","AC","AC_TYPE2","22"
"49","24","SKT/15970","AC","AC_TYPE2","22"
"50","25","SKT/16161","DC","DC_CCS","180"
"51","25","SKT/16162","DC","DC_CCS","180"
"52","26","SKT/31679","DC","DC_CCS","120"
"53","26","SKT/31680","DC","DC_CCS","120"
"54","27","SKT/20792","DC","DC_CCS","120"
"55","27","SKT/22089","DC","DC_CCS","120"
"56","28","SKT/30179","DC","DC_CCS","120"
"57","28","SKT/30180","DC","DC_CCS","120"
"58","29","SKT/30181","DC","DC_CCS","120"
"59","29","SKT/30182","DC","DC_CCS","120"
"60","30","SKT/31995","DC","DC_CCS","120"
"61","30","SKT/31996","DC","DC_CCS","120"
"62","31","SKT/31997","DC","DC_CCS","120"
"63","31","SKT/31998","DC","DC_CCS","120"
"64","32","SKT/27082","AC","AC_TYPE2","22"
"65","33","SKT/28522","DC","DC_CCS","180"
"66","33","SKT/28523","DC","DC_CCS","180"
"67","34","SKT/29032","DC","DC_CCS","120"
"68","34","SKT/29033","DC","DC_CCS","120"
"69","35","SKT/29034","DC","DC_CCS","120"
"70","35","SKT/29035","DC","DC_CCS","120"
"71","36","SKT/9032","AC","AC_TYPE2","22"
"72","37","SKT/29213","DC","DC_CCS","180"
"73","37","SKT/29214","DC","DC_CCS","180"
"74","38","SKT/29891","DC","DC_CCS","180"
"75","38","SKT/29892","DC","DC_CCS","180"
"76","39","SKT/30437","DC","DC_CCS","180"
"77","39","SKT/30438","DC","DC_CCS","180"
"78","40","SKT/12154","AC","AC_TYPE2","22"
"79","41","SKT/12182","AC","AC_TYPE2","22"
"80","42","SKT/38576","DC","DC_CCS","120"
"81","42","SKT/38577","DC","DC_CCS","120"
"82","42","SKT/38578","AC","AC_TYPE2","22"
"83","42","SKT/38579","AC","AC_TYPE2","22"
"84","43","SKT/38826","DC","DC_CCS","180"
"85","43","SKT/38827","DC","DC_CCS","180"
"86","43","SKT/38828","DC","DC_CCS","180"
"87","43","SKT/38829","DC","DC_CCS","180"
"88","43","SKT/38830","DC","DC_CCS","180"
"89","43","SKT/38831","DC","DC_CCS","180"
"90","44","SKT/39472","AC","AC_TYPE2","22"
"91","45","SKT/12565","DC","DC_CCS","180"
"92","45","SKT/12566","DC","DC_CCS","180"
"93","46","SKT/12613","DC","DC_CCS","180"
"94","46","SKT/12614","DC","DC_CCS","180"
"95","47","SKT/13343","DC","DC_CCS","180"
"96","47","SKT/13344","DC","DC_CCS","180"
"97","48","SKT/9585","AC","AC_TYPE2","22"
"98","48","SKT/9586","AC","AC_TYPE2","22"
"99","48","SKT/9587","AC","AC_TYPE2","22"
"100","49","SKT/189","AC","AC_TYPE2","7.4"
"101","50","SKT/5364","DC","DC_CCS","120"
"102","50","SKT/5365","DC","DC_CCS","120"
"103","51","SKT/13082","DC","DC_CCS","60"
"104","51","SKT/13083","DC","DC_CCS","60"
"105","52","SKT/13121","AC","AC_TYPE2","22"
"106","53","SKT/13803","AC","AC_TYPE2","22"
"107","53","SKT/13804","AC","AC_TYPE2","22"
"108","54","SKT/14224","DC","DC_CCS","180"
"109","54","SKT/14225","DC","DC_CCS","180"
"110","55","SKT/14724","DC","DC_CCS","90"
"111","55","SKT/14725","DC","DC_CCS","90"
"112","56","SKT/21062","DC","DC_CCS","30"
"113","57","SKT/21457","DC","DC_CCS","180"
"114","57","SKT/21458","DC","DC_CCS","180"
"115","58","SKT/21646","DC","DC_CCS","120"
"116","58","SKT/21647","DC","DC_CCS","120"
"117","59","SKT/19270","DC","DC_CCS","180"
"118","59","SKT/19271","DC","DC_CCS","180"
"119","60","SKT/21455","DC","DC_CCS","180"
"120","60","SKT/21456","DC","DC_CCS","180"
"121","61","SKT/21938","DC","DC_CCS","180"
"122","61","SKT/21939","DC","DC_CCS","180"
"123","62","SKT/21936","DC","DC_CCS","180"
"124","62","SKT/21937","DC","DC_CCS","180"
"125","63","SKT/40088","DC","DC_CCS","360"
"126","63","SKT/40089","DC","DC_CCS","360"
"127","63","SKT/40090","DC","DC_CCS","120"
"128","63","SKT/40091","DC","DC_CCS","120"
"129","64","SKT/39917","DC","DC_CCS","120"
"130","64","SKT/39918","DC","DC_CCS","120"
"131","65","SKT/29039","DC","DC_CCS","240"
"132","65","SKT/29040","DC","DC_CCS","240"
"133","66","SKT/28056","DC","DC_CCS","120"
"134","66","SKT/28057","DC","DC_CCS","120"
"135","66","SKT/28058","AC","AC_TYPE2","22"
"136","66","SKT/28059","AC","AC_TYPE2","22"
"137","66","SKT/28087","AC","AC_TYPE2","22"
"138","67","SKT/41919","DC","DC_CCS","60"
"139","67","SKT/41920","DC","DC_CCS","60"
"140","68","SKT/17349","DC","DC_CCS","180"
"141","68","SKT/17350","DC","DC_CCS","180"
"142","69","SKT/18254","DC","DC_CCS","180"
"143","69","SKT/18255","DC","DC_CCS","180"
"144","70","SKT/18268","DC","DC_CCS","180"
"145","70","SKT/18269","DC","DC_CCS","180"
"146","71","SKT/1296","AC","AC_TYPE2","22"
"147","71","SKT/1297","AC","AC_TYPE2","22"
"148","72","SKT/1298","AC","AC_TYPE2","22"
"149","72","SKT/1299","AC","AC_TYPE2","22"
"150","73","SKT/1300","AC","AC_TYPE2","22"
"151","73","SKT/1301","AC","AC_TYPE2","22"
"152","74","SKT/1302","AC","AC_TYPE2","22"
"153","74","SKT/1303","AC","AC_TYPE2","22"
"154","75","SKT/1304","AC","AC_TYPE2","22"
"155","75","SKT/1305","AC","AC_TYPE2","22"
"156","76","SKT/1308","AC","AC_TYPE2","22"
"157","76","SKT/1309","AC","AC_TYPE2","22"
"158","77","SKT/1310","AC","AC_TYPE2","22"
"159","77","SKT/1311","AC","AC_TYPE2","22"
"160","78","SKT/1312","AC","AC_TYPE2","22"
"161","78","SKT/1313","AC","AC_TYPE2","22"
"162","79","SKT/19273","DC","DC_CCS","180"
"163","79","SKT/19274","DC","DC_CCS","180"
"164","80","SKT/1306","AC","AC_TYPE2","22"
"165","80","SKT/1307","AC","AC_TYPE2","22"
"166","81","SKT/20116","AC","AC_TYPE2","22"
"167","81","SKT/20117","AC","AC_TYPE2","22"
"168","82","SKT/20722","DC","DC_CCS","180"
"169","82","SKT/20723","DC","DC_CCS","180"
"170","83","SKT/33239","DC","DC_CCS","120"
"171","83","SKT/33240","DC","DC_CCS","120"
"172","84","SKT/33183","DC","DC_CCS","120"
"173","84","SKT/33184","DC","DC_CCS","120"
"174","85","SKT/32215","DC","DC_CCS","60"
"175","85","SKT/33711","DC","DC_CCS","60"
"176","86","SKT/34048","DC","DC_CCS","90"
"177","86","SKT/34049","DC","DC_CCS","90"
"178","87","SKT/34718","AC","AC_TYPE2","22"
"179","87","SKT/34719","AC","AC_TYPE2","22"
"180","88","SKT/23374","DC","DC_CCS","120"
"181","88","SKT/23375","DC","DC_CCS","120"
"182","89","SKT/23376","DC","DC_CCS","120"
"183","89","SKT/23377","DC","DC_CCS","120"
"184","90","SKT/34908","DC","DC_CCS","60"
"185","90","SKT/34909","DC","DC_CCS","60"
"186","91","SKT/35305","DC","DC_CCS","180"
"187","91","SKT/35306","DC","DC_CCS","180"
"188","92","SKT/34470","AC","AC_TYPE2","22"
"189","92","SKT/34471","AC","AC_TYPE2","22"
"190","93","SKT/34472","AC","AC_TYPE2","22"
"191","93","SKT/34473","AC","AC_TYPE2","22"
"192","94","SKT/31082","AC","AC_TYPE2","11"
"193","94","SKT/35525","AC","AC_TYPE2","11"
"194","95","SKT/36183","AC","AC_TYPE2","3.7"
"195","96","SKT/36529","AC","AC_TYPE2","22"
"196","96","SKT/36530","AC","AC_TYPE2","22"
"197","97","SKT/36531","AC","AC_TYPE2","22"
"198","98","SKT/37146","AC","AC_TYPE2","11"
"199","98","SKT/37147","AC","AC_TYPE2","11"
"200","99","SKT/38498","DC","DC_CCS","180"
"201","99","SKT/38499","DC","DC_CCS","180"
"202","99","SKT/38500","AC","AC_TYPE2","22"
"203","100","SKT/4157","AC","AC_TYPE2","22"
"204","100","SKT/4158","AC","AC_TYPE2","22"
"205","101","SKT/31993","DC","DC_CCS","120"
"206","101","SKT/31994","DC","DC_CCS","120"
"207","102","SKT/32035","DC","DC_CCS","180"
"208","102","SKT/32036","DC","DC_CCS","180"
"209","102","SKT/32037","DC","DC_CCS","180"
"210","102","SKT/32038","DC","DC_CCS","180"
"211","102","SKT/32039","DC","DC_CCS","180"
"212","102","SKT/32040","DC","DC_CCS","180"
"213","102","SKT/32041","DC","DC_CCS","180"
"214","102","SKT/32042","DC","DC_CCS","180"
"215","103","SKT/15319","AC","AC_TYPE2","22"
"216","103","SKT/15320","AC","AC_TYPE2","22"
"217","104","SKT/15501","DC","DC_CCS","180"
"218","104","SKT/15502","DC","DC_CCS","180"
"219","105","SKT/15537","DC","DC_CCS","180"
"220","105","SKT/15538","DC","DC_CCS","180"
"221","106","SKT/23941","DC","DC_CCS","180"
"222","106","SKT/23942","DC","DC_CCS","180"
"223","107","SKT/16606","AC","AC_TYPE2","11"
"224","108","SKT/17957","DC","DC_CCS","120"
"225","108","SKT/17958","DC","DC_CCS","120"
"226","109","SKT/25116","AC","AC_TYPE2","11"
"227","109","SKT/25117","AC","AC_TYPE2","11"
"228","110","SKT/25734","DC","DC_CCS","30"
"229","111","SKT/7432","DC","DC_CCS","120"
"230","111","SKT/7433","DC","DC_CCS","120"
"231","112","SKT/30461","DC","DC_CCS","120"
"232","112","SKT/30462","DC","DC_CCS","120"
"233","113","SKT/27531","DC","DC_CCS","180"
"234","113","SKT/27532","DC","DC_CCS","180"
"235","114","SKT/21131","DC","DC_CCS","180"
"236","114","SKT/21132","DC","DC_CCS","180"
"237","115","SKT/30726","AC","AC_TYPE2","11"
"238","116","SKT/30830","DC","DC_CCS","120"
"239","116","SKT/30832","DC","DC_CCS","120"
"240","117","SKT/30971","DC","DC_CCS","120"
"241","117","SKT/30972","DC","DC_CCS","120"
"242","118","SKT/31215","DC","DC_CCS","120"
"243","118","SKT/31216","DC","DC_CCS","120"
"244","119","SKT/4862","AC","AC_TYPE2","22"
"245","119","SKT/4863","AC","AC_TYPE2","22"
"246","120","SKT/4864","AC","AC_TYPE2","22"
"247","120","SKT/4865","AC","AC_TYPE2","22"
"248","121","SKT/4870","AC","AC_TYPE2","22"
"249","121","SKT/4871","AC","AC_TYPE2","22"
"250","122","SKT/2651","AC","AC_TYPE2","22"
"251","123","SKT/2654","AC","AC_TYPE2","22"
"252","123","SKT/2655","AC","AC_TYPE2","22"
"253","124","SKT/2669","AC","AC_TYPE2","22"
"254","125","SKT/2670","AC","AC_TYPE2","22"
"255","125","SKT/2671","AC","AC_TYPE2","22"
"256","126","SKT/2672","AC","AC_TYPE2","22"
"257","126","SKT/2673","AC","AC_TYPE2","22"
"258","127","SKT/2681","AC","AC_TYPE2","22"
"259","128","SKT/929","AC","AC_TYPE2","22"
"260","129","SKT/3071","AC","AC_TYPE2","22"
"261","129","SKT/3072","AC","AC_TYPE2","22"
"262","130","SKT/3074","AC","AC_TYPE2","22"
"263","130","SKT/3075","AC","AC_TYPE2","22"
"264","131","SKT/3079","AC","AC_TYPE2","22"
"265","132","SKT/3080","AC","AC_TYPE2","22"
"266","133","SKT/4839","AC","AC_TYPE2","22"
"267","133","SKT/4840","AC","AC_TYPE2","22"
