"id","station_number","city_id","district_id","station_name","address","is_private","brand_id","latitude","longitude"
"1","ŞRJ/12262",,,"Hilton Garden Inn Erzurum","Ömer Nasuhi Bilmen Mahallesi Hava Alanı Yolu Caddesi Yakutiye / ERZURUM","0","171","39.9161504","41.250616"
"2","ŞRJ/12326",,,"AUTO KİNG OTO EKSPERTİZ IĞDIR","Cumhuriyet Mahallesi K.karabekir Caddesi  No:13/A Merkez / IĞDIR","0","165","39.9200596","44.0436151"
"3","ŞRJ/12375",,,"Arzen Park","E80 Karayolu Üzeri 5.km Mahallesi  No:40/3 Aziziye / ERZURUM","0","106","39.9220733","41.1931755"
"4","ŞRJ/7216",,,"Shell Erzincan Girişi","Mimar Sinan Mahallesi Halitpaşa Caddesi Merkez / ERZİNCAN","0","153","39.746797","39.491124"
"5","ŞRJ/7281",,,"YMY Ssangyong Şahsuvaroğlu Erzurum","Kurtuluş Mah Mahallesi Tortum Yolu Cad Caddesi Yakutiye / ERZURUM","0","124","39.9054993","41.2658236"
"6","ŞRJ/7300",,,"Bayburt Otel Konaklama","Şingah Mahallesi  No:17 Merkez / BAYBURT","0","56","40.2593543","40.2136412"
"7","ŞRJ/7598",,,"Bayburt Günpaş AVM","Bayburt Çaykara Yolu Caddesi  Bayburt Kuleleri Altı Merkez / BAYBURT","0","56","40.2611499","40.2136207"
"8","ŞRJ/7636",,,"Ağrı Girişi Shell","Yolugüzel Mahallesi  Erzurum Ağrı Yolu Merkez / AĞRI","0","153","39.719074","43.050591"
"9","ŞRJ/7637",,,"Doğubayazıt Ertur Otel","Vatan Mahallesi  Çevreyolu Üstü Doğubayazıt / AĞRI","0","153","39.5524212","44.0600715"
"10","ŞRJ/6997",,,"Erzurum Özel Buhara Hastanesi","Palandöken Kavşağı Mahallesi  No:3 Palandöken / ERZURUM","0","153","39.89612","41.2725115"
"11","ŞRJ/9331",,,"Shell Aşkale","Bahçelievler Mahallesi Erzurum Caddesi Aşkale / ERZURUM","0","153","39.9054993","41.2658236"
"12","ŞRJ/9428",,,"Tunahan Petrol","Topkaya Mahallesi Kars Caddesi  No:14 Akyaka / KARS","0","106","40.6013378","43.0974525"
"13","ŞRJ/9636",,,"B-CHARGE - ŞAHİKA GROUP","Kurtuluş Mahallesi Tortum Yolu Caddesi  No:256 Yakutiye / ERZURUM","0","20","39.9266335","41.2834415"
"14","ŞRJ/9852",,,"Opet Ekrem Kırali","Zahit Mahallesi  No:55 Merkez / BAYBURT","0","166","40.2422318","40.2444726"
"15","ŞRJ/9882",,,"BAYBERD HOTEL","Şinhag Mahallesi  No:44 Merkez / BAYBURT","0","50","40.2670444","40.2009263"
"16","ŞRJ/12657",,,"Sunpet Sazbeyi","Yalnızbağ/mimar Sinan Mahallesi  Yukarı Kuşkonm Merkez / ERZİNCAN","0","166","39.746797","39.491124"
"17","ŞRJ/12658",,,"Sunpet Saztepe","Erzincan-erzurum Karayolu 11. Km. Mahallesi  Saztepe Merkez / ERZİNCAN","0","166","39.69979","39.620181"
"18","ŞRJ/12794",,,"Nurettinoglu Petrol","Adnan Menderes Mahallesi Ağrı Caddesi  No:54/b /Nurettinoğlu Petrol Horasan / ERZURUM","0","76","39.9054993","41.2658236"
"19","ŞRJ/12795",,,"Şehzade Cafe","Kethuda Mahallesi Şehit İshak Çelik Caddesi  No:Şehzade kongre toplantı  düğün Pasinler / ERZURUM","0","76","39.9054993","41.2658236"
"20","ŞRJ/12831",,,"Ald Petrol","Iğdır Doğubeyazıt Yolu Mahallesi  No:108 Merkez / IĞDIR","0","76","39.8610199","44.0643352"
"21","ŞRJ/12832",,,"Melekli Aytemiz Petrol","14 Kasım Mahallesi  No:334 Karakoyunlu / IĞDIR","0","76","39.9403831","44.1281887"
"22","ŞRJ/12841",,,"GES Çiftlik","Yamaçlı Mahallesi  No:60  Benli Ahmet Selim / KARS","0","76","40.6013378","43.0974525"
"23","ŞRJ/12846",,,"Avşar Petrol","Höçvan Hasköy Mahallesi Hasköy 1. Sokağı Merkez / ARDAHAN","0","76","41.11295","42.70228"
"24","ŞRJ/7138",,,"Winter City Hotel Kars","Yenişehir Mahallesi  No:70 Merkez / KARS","0","171","40.5811108","43.0990824"
"25","ŞRJ/7213",,,"Erzincan Neon Hastanesi","Ergenekon Mahallesi 104 Sokağı Merkez / ERZİNCAN","0","153","39.7488732","39.4689889"
"26","ŞRJ/12376",,,"Orhan Daş Petrol","Adnan Menderes Mahallesi Erzurum Caddesi  No:171/1 Horasan / ERZURUM","0","106","39.9054993","41.2658236"
"27","ŞRJ/8948",,,"Kahraman Petrol","Yeni Mahalle Mahallesi . Caddesi Tuzluca / IĞDIR","0","76","39.9200596","44.0436151"
"28","ŞRJ/11960",,,"Özer Kardeşler Petrol","Çamlıçatak Mahallesi 177 Sokağı  Çamlıçatak Mücavir  Çamlıçatak Merkez / ARDAHAN","0","76","41.11295","42.70228"
"29","ŞRJ/11961",,,"Balpet - Canik Petrol","Canik Mahallesi  No:376 /Canik Petrol Tuşba / VAN","0","76","38.863384","43.4470619"
"30","ŞRJ/12480",,,"Dambat Maden Suyu","Yolluyazı Mahallesi  Yolluyazı Merkez / AĞRI","0","76","39.6572109","43.0163765"
"31","ŞRJ/12481",,,"Yenigun Dinlenme Tesisleri","Taşteker Mahallesi Taşteker Sokağı  No:1 /Cevdet yenigün Taşlıçay / AĞRI","0","76","39.612338","43.516545"
"32","ŞRJ/11021",,,"GRAND EMİR HOTEL","Gölçük Mahallesi Recep Tayyip Erdoğan Caddesi  No:14 Merkez / ERZİNCAN","0","165","39.7539863","39.4533004"
"33","ŞRJ/11492",,,"DOĞA OTEL ERZİNCAN","Mimar Sinan Mahallesi Çevreyolu Caddesi  No:3 Merkez / ERZİNCAN","0","50","39.7681914","39.0501306"
"34","ŞRJ/11627",,,"Çelikler Petrol","Müftüselim Mahallesi 432. Sokağı  No:2/6 Eleşkirt / AĞRI","0","106","39.719074","43.050591"
"35","ŞRJ/11628",,,"Yurtpınar Petrol","Fırat Mahallesi Çevreyolu Caddesi  No:414  Sanayi Sitesi Merkez / AĞRI","0","106","39.7608999","42.9687"
"36","ŞRJ/4326",,,"Petrol Ofisi - Mercan Beldesi Akşemsettin","Akşemsettın Mahallesi E-80 Karayolu Caddesi  No:15/A Tercan / ERZİNCAN","0","39","39.746797","39.491124"
"37","ŞRJ/11694",,,"Ardahan Kahramanlar Caddesi","Karagöl Mahallesi Kongre Caddesi  No:46 Merkez / ARDAHAN","0","153","41.1182218","42.7127949"
"38","ŞRJ/11873",,,"Çakır Palace Otel","Aşağı Özbağ Mahallesi  Rize Yol Ayrımı İspir / ERZURUM","0","153","39.9054993","41.2658236"
"39","ŞRJ/12034",,,"Tercan Di-Kubik Tesisleri","Ahmet Yesevi Mahallesi Yavuzlar Sokağı  No:74 Tercan / ERZİNCAN","0","153","39.777631","40.383667"
"40","ŞRJ/5609",,,"TÜVTÜRK Araç Muayene İstasyonu-Merkez/IĞDIR","Namık Kemal Mahallesi Ortaokul Sokağı  No:51  Melekli Merkez / IĞDIR","0","157","39.9393786","44.091626"
"41","ŞRJ/5636",,,"TÜVTÜRK Araç Muayene İstasyonu-Merkez/ERZURUM","Şükrüpaşa Mahallesi Tortum Yolu Caddesi  No:279 Yakutiye / ERZURUM","0","157","39.9054993","41.2658236"
"42","ŞRJ/14627",,,"Ramada By Wyndham Erzurum","Hüseyin Avni Ulaş Mahallesi Şehir Hastanesi Karşısı Çat Yolu Üzeri Caddesi Palandöken / ERZURUM","0","53","39.8851404","41.2374915"
"43","ŞRJ/14682",,,"Ergan AVM","Mimar Sinan Mahallesi Halitpaşa Caddesi  No:133 Merkez / ERZİNCAN","0","153","39.746797","39.491124"
"44","ŞRJ/14861",,,"PADO DONDURMA","Dadaşkent Mahallesi  E80 Karayolu. Dadaşkent 5km. Aziziye / ERZURUM","0","165","39.9124378","41.2732547"
"45","ŞRJ/5783",,,"Erzurum Valilik","Muratpaşa Mahallesi  Valilik Yakutiye / ERZURUM","0","153","39.9038221","41.2617857"
